sample	total_markers	markers_hit	frac_markers_hit	mean_marker_count
T1192A_9042015_Q2_Q3	74770	74770	1.000000	2319.990705
T1192B_7042006_D1_D2	45899	45899	1.000000	766.929998
T1192B_9042015_Q2_Q3	71500	71500	1.000000	3339.114671
T1194A_2072015_Q2_Q3	77464	77464	1.000000	2516.862698
T1194A_26092007_D1_D2	85728	85728	1.000000	7110.022058
T1194B_26092007_D1_D2	81265	81265	1.000000	3267.977026
T1197A_19102006_D1_D2	82145	82145	1.000000	5493.373169
T1197A_20012016_Q2_Q3	71496	71496	1.000000	3275.686598
T1197A_27042006_D1_D2	66950	66950	1.000000	4105.690022
T1197B_19102006_D1_D2	81078	81078	1.000000	3629.861146
T1197B_20012016_Q2_Q3	68145	68145	1.000000	3002.911072
T1197B_27042006_D1_D2	25712	25712	1.000000	500.138612
T1198A_10112006_D1_D2	82723	82723	1.000000	5775.483711
T1198A_15052006_D1_D2	34922	34922	1.000000	743.455358
T1198B_10112006_D1_D2	84959	84959	1.000000	12102.093516
T1198B_15052006_D1_D2	52877	52877	1.000000	1203.611343
T1198B_15072014_Q2_Q3	83072	83072	1.000000	9897.594629
T1210A_10102006_D1_D2	61099	61099	1.000000	4151.548618
T1210A_26042006_D1_D2	21582	21582	1.000000	363.658558
T1210A_29062015_Q2_Q3	80466	80466	1.000000	8438.898877
T1210B_10102006_D1_D2	65130	65130	1.000000	4568.153693
T1210B_26042006_D1_D2	11226	11226	1.000000	356.283093
T1215A_1072015_Q2_Q3	75160	75160	1.000000	6525.436668
T1215A_31052006_D1_D2	64945	64945	1.000000	1599.765432
T1215A_31052007_D1_D2	85551	85551	1.000000	10854.152494
T1215B_1072015_Q2_Q3	70668	70668	1.000000	4103.499264
T1215B_31052006_D1_D2	71546	71546	1.000000	2337.542770
T1215B_31052007_D1_D2	84815	84815	1.000000	12462.141543
T1229A_14032007_D1_D2	83186	83186	1.000000	27169.935530
T1229A_16042014_Q2_Q3	80021	80021	1.000000	5891.456318
T1229A_2072006_D1_D2	40909	40909	1.000000	916.273241
T1229B_14032007_D1_D2	79148	79148	1.000000	9629.326389
T1229B_16042014_Q2_Q3	81341	81341	1.000000	11093.226921
T1229B_2072006_D1_D2	50713	50713	1.000000	1411.926528
T1230A_1072015_Q2_Q3	78087	78087	1.000000	3978.151818
T1230A_14032007_D1_D2	87807	87807	1.000000	21079.437015
T1230A_8062006_D1_D2	42744	42744	1.000000	835.042696
T1230B_1072015_Q2_Q3	57926	57926	1.000000	1614.205331
T1230B_14032007_D1_D2	86172	86172	1.000000	8714.692951
T1230B_8062006_D1_D2	48672	48672	1.000000	1328.203094
T1235A_18012007_D1_D2	87885	87885	1.000000	35191.442078
T1235B_17072015_Q2_Q3	61789	61789	1.000000	1359.528152
T1235B_18012007_D1_D2	86500	86500	1.000000	30874.245873
T1236A_15042014_Q2_Q3	70020	70020	1.000000	7452.902185
T1236A_26032007_D1_D2	77975	77975	1.000000	19427.150612
T1236A_6072006_D1_D2	72833	72833	1.000000	10111.240193
T1236B_15042014_Q2_Q3	80331	80331	1.000000	3573.954339
T1236B_26032007_D1_D2	82173	82173	1.000000	18838.403721
T1236B_6072006_D1_D2	75409	75409	1.000000	6837.773197
T1243A_11042016_Q2_Q3	56141	56141	1.000000	3033.803637
T1243A_23042007_D1_D2	86829	86829	1.000000	11642.146541
T1243B_11042016_Q2_Q3	65793	65793	1.000000	2204.851975
T1243B_23042007_D1_D2	86236	86236	1.000000	7889.599564
T1246A_12062006_D1_D2	38906	38906	1.000000	875.377834
T1246A_14042014_Q2_Q3	73618	73618	1.000000	3892.233693
T1246A_7032008_D1_D2	86125	86125	1.000000	18319.482229
T1246B_12062006_D1_D2	65940	65940	1.000000	13617.663345
T1246B_14042014_Q2_Q3	76649	76649	1.000000	5356.897207
T1246B_7032008_D1_D2	83681	83681	1.000000	18777.258506
T1247A_30102006_D1_D2	81307	81307	1.000000	7260.519758
T1247A_6082007_D1_D2	86441	86441	1.000000	17382.966706
T1247A_9072015_Q2_Q3	69238	69238	1.000000	3604.254947
T1247B_30102006_D1_D2	60360	60360	1.000000	1556.840971
T1247B_6082007_D1_D2	69551	69551	1.000000	1256.403402
T1247B_9072015_Q2_Q3	73175	73175	1.000000	4153.285070
T1249A_01102014_Q2_Q3	51057	51057	1.000000	792.635740
T1249A_02112007_D1_D2	88310	88310	1.000000	20495.660707
T1249A_14062006_D1	51699	51699	1.000000	1188.527941
T1249B_01102014_Q2_Q3	64017	64017	1.000000	1087.450412
T1249B_02112007_D1_D2	88151	88151	1.000000	15644.370569
T1249B_14062006_D1	25559	25559	1.000000	421.895184
T1251A_12102007_D1_D2	87401	87401	1.000000	30124.092276
T1251A_28072006_D1_D2	60820	60820	1.000000	3277.693867
T1251A_3072015_Q2_Q3	81668	81668	1.000000	20620.970209
T1251B_12102007_D1_D2	87180	87180	1.000000	37640.284492
T1251B_28072006_D1_D2	65965	65965	1.000000	10977.138801
T1251B_3072015_Q2_Q3	72131	72131	1.000000	4764.867685
T1254A_20122007_D1_D2	84266	84266	1.000000	4020.985926
T1254A_9072015_Q2_Q3	59680	59680	1.000000	3567.635674
T1254A_9082006_D1_D2	74281	74281	1.000000	3778.147979
T1254B_20122007_D1_D2	88249	88249	1.000000	38267.434860
T1254B_9072015_Q2_Q3	61224	61224	1.000000	1403.586535
T1261A_10072015_Q2_Q3	62877	62877	1.000000	1141.426372
T1261A_19072006_D1_D2	70985	70985	1.000000	16856.546256
T1261A_7082007_D1_D2	86440	86440	1.000000	13217.823450
